support_family,layout,jitter_fraction,dtype,candidate,operator_variant,operator,norm,mean_log_error_log_dx_slope,median_log_error_log_dx_slope,mean_endpoint_ratio_64_over_16,median_endpoint_ratio_64_over_16
constant_neighbor,jitter_10,0.1,float64,first_order_gradient_matrix,isotropic_quadratic_response_laplacian,Laplacian,Linf,-0.8725434449180344,-0.8591921129138101,3.0455184385999563,3.01743702156281
constant_neighbor,jitter_10,0.1,float64,first_order_gradient_matrix,local_first_moment_inverse_gradient,divergence,L1,1.9012896989512411,1.9026316405312282,0.07212957129541205,0.07197216090776834
constant_neighbor,jitter_10,0.1,float64,first_order_gradient_matrix,local_first_moment_inverse_gradient,divergence,L2,1.9094810528581923,1.9096564354747534,0.07126546137144842,0.07122753431917622
constant_neighbor,jitter_10,0.1,float64,first_order_gradient_matrix,local_first_moment_inverse_gradient,divergence,Linf,1.8489791324971534,1.8505707691696465,0.07816322319294636,0.07800525770256965
constant_neighbor,jitter_10,0.1,float64,first_order_gradient_matrix,local_first_moment_inverse_gradient,gradient,L1,1.9227515151843662,1.9234874030562332,0.06984116761562523,0.06977604103810404
constant_neighbor,jitter_10,0.1,float64,first_order_gradient_matrix,local_first_moment_inverse_gradient,gradient,L2,1.906267801774368,1.906876809331935,0.07156624254882145,0.07152847629189153
constant_neighbor,jitter_10,0.1,float64,first_order_gradient_matrix,local_first_moment_inverse_gradient,gradient,Linf,1.794526155858623,1.7937297690869456,0.08465031618860255,0.08462253055100917
constant_neighbor,jitter_10,0.1,float64,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,kernel_S0,L2,-0.016057249919050748,-0.021445269389487313,1.017885680116263,1.0230072970232937
constant_neighbor,jitter_10,0.1,float64,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,kernel_S0,Linf,-0.20370804899275724,-0.2318621347930526,1.3066666666666669,1.3333333333333333
constant_neighbor,jitter_10,0.1,float64,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,kernel_S0,mean_abs,-0.022962951173954638,-0.025145367073162072,1.0303682572614108,1.0347510373443984
constant_neighbor,jitter_10,0.1,float64,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,kernel_S1,L2,1.0054166930950146,1.0047273030858856,0.25087058976043425,0.2501773711933985
constant_neighbor,jitter_10,0.1,float64,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,kernel_S1,Linf,0.7818990459178242,0.7720371529075689,0.34815389148931214,0.35359121128727844
constant_neighbor,jitter_10,0.1,float64,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,scalar_interpolation,L1,1.9187740853791362,1.9185271954761018,0.0704855867641442,0.07050862797753095
constant_neighbor,jitter_10,0.1,float64,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,scalar_interpolation,L2,1.922710384847463,1.922650292509362,0.0699349099222101,0.06993872915415368
constant_neighbor,jitter_10,0.1,float64,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,scalar_interpolation,Linf,1.8722090887755412,1.874632842883662,0.07554329496697257,0.07523772546532079
constant_neighbor,jitter_10,0.1,float64,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_gradient,divergence,L1,1.9179051260034703,1.9176607100581096,0.07041180405362021,0.07043220899173991
constant_neighbor,jitter_10,0.1,float64,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_gradient,divergence,L2,1.9284310554898705,1.9283236100962595,0.06934607741617255,0.06935644024143897
constant_neighbor,jitter_10,0.1,float64,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_gradient,divergence,Linf,1.8853234000432177,1.8860289639360883,0.07389536585290239,0.07381782214080058
constant_neighbor,jitter_10,0.1,float64,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_gradient,gradient,L1,1.9441179068143966,1.9440487299840006,0.06779073197372758,0.06779232008935504
constant_neighbor,jitter_10,0.1,float64,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_gradient,gradient,L2,1.9283449796417738,1.928353525708843,0.06936164455351893,0.06936363058795283
constant_neighbor,jitter_10,0.1,float64,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_gradient,gradient,Linf,1.885538930589737,1.8839380391838834,0.07377513593200394,0.07391882333282217
constant_neighbor,jitter_10,0.1,float64,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_laplacian,Laplacian,L1,1.9288218482655426,1.9299165696577405,0.06940216290094738,0.06932010295852525
constant_neighbor,jitter_10,0.1,float64,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_laplacian,Laplacian,L2,1.932597749137599,1.9324622866757346,0.06893401475984634,0.06894640491640038
constant_neighbor,jitter_10,0.1,float64,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_laplacian,Laplacian,Linf,1.879641754198482,1.88069447386633,0.07461220647084874,0.07447202785474928
constant_neighbor,jitter_10,0.1,float64,raw_sph,raw_brookshaw_component_laplacian,Laplacian,L1,-0.273349691587592,-0.26552012928976115,1.3492516841284914,1.343195506912707
constant_neighbor,jitter_10,0.1,float64,raw_sph,raw_brookshaw_component_laplacian,Laplacian,L2,-0.35547566693725213,-0.34538541478458357,1.501360181510871,1.4822000750975908
constant_neighbor,jitter_10,0.1,float64,raw_sph,raw_brookshaw_component_laplacian,Laplacian,Linf,-0.8248301373815551,-0.8230750229933568,2.812450494155261,2.8241677968311976
constant_neighbor,jitter_10,0.1,float64,raw_sph,raw_difference_gradient,divergence,L1,1.5836102110680705,1.5884716090794442,0.1139821410539553,0.1134254430178238
