step,edge_count,removed_vs_initial,added_vs_initial
777,82944,0,0
778,82944,0,0
779,82944,0,0
780,82944,0,0
781,82944,0,0
782,82944,0,0
783,82944,0,0
784,82944,0,0
785,82944,0,0
786,82944,0,0
787,82944,0,0
788,82944,0,0
789,82944,0,0
790,82944,0,0
791,82944,0,0
792,82944,0,0
793,82944,0,0
794,82944,0,0
795,82944,0,0
796,82944,0,0
797,82944,0,0
798,82944,0,0
799,82944,0,0
800,82944,0,0
801,82944,0,0
802,82944,0,0
803,82944,0,0
804,82944,0,0
805,82944,0,0
806,82944,0,0
807,82944,0,0
808,82944,0,0
809,82944,0,0
810,82944,0,0
811,82944,0,0
812,82944,0,0
813,82944,0,0
814,82944,0,0
815,82944,0,0
816,82944,0,0
817,82944,0,0
818,82944,0,0
819,82944,0,0
820,82944,0,0
821,82944,0,0
822,82944,0,0
823,82944,0,0
824,82944,0,0
825,82944,0,0
826,82944,0,0
827,82944,0,0
828,82944,0,0
829,82944,0,0
830,82944,0,0
831,82944,0,0
832,82944,0,0
833,82944,0,0
834,82944,0,0
835,82944,0,0
836,82944,0,0
837,82944,0,0
838,82944,0,0
839,82944,0,0
840,82944,0,0
841,82944,0,0
842,82944,0,0
843,82944,0,0
844,82944,0,0
845,82944,0,0
846,82944,0,0
847,82944,0,0
848,82944,0,0
849,82944,0,0
850,82944,0,0
851,82944,0,0
852,82944,0,0
853,82944,0,0
854,82944,0,0
855,82944,0,0
856,82944,0,0
857,82944,0,0
858,82944,0,0
859,82944,0,0
860,82944,0,0
861,82944,0,0
862,82944,0,0
863,82944,0,0
864,82944,0,0
865,82944,0,0
866,82944,0,0
867,82944,0,0
868,82944,0,0
869,82944,0,0
870,82944,0,0
871,82944,0,0
872,82944,0,0
873,82944,0,0
874,82944,0,0
875,82944,0,0
876,82944,0,0
877,82944,0,0
878,82944,0,0
879,82944,0,0
880,82944,0,0
881,82944,0,0
882,82944,0,0
883,82944,0,0
884,82944,0,0
885,82944,0,0
886,82944,0,0
887,82944,0,0
888,82944,0,0
889,82944,0,0
890,82944,0,0
891,82944,0,0
892,82944,0,0
893,82944,0,0
894,82944,0,0
895,82944,0,0
896,82944,0,0
897,82944,0,0
898,82944,0,0
899,82944,0,0
900,82944,0,0
901,82944,0,0
902,82944,0,0
903,82944,0,0
904,82944,0,0
905,82944,0,0
906,82944,0,0
907,82944,0,0
908,82944,0,0
909,82944,0,0
910,82944,0,0
911,82944,0,0
912,82944,0,0
913,82944,0,0
914,82944,0,0
915,82944,0,0
916,82944,0,0
