semantic_slot,tensor_object_id,storage_key,shape,dtype,nbytes,gc_is_tracked,is_tensor_view,base_storage,creation_step,replacement_step,retirement_step,last_alive_step,gc_generation,python_owner_object_type,owner_creation_location,owner_source_module,owner_category,owner_project_owned,owner_diagnostic_owned
endpoint_neighborhood.displacement,4453011680,cpu:5249957888:1327104,82944x2,torch.float64,1327104,True,False,none,67,73,74,74,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453008800,cpu:5786402816:1327104,82944x2,torch.float64,1327104,True,False,none,70,91,92,92,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452874464,cpu:5515902976:1327104,82944x2,torch.float64,1327104,True,False,none,71,104,105,106,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453014960,cpu:5791121408:1327104,82944x2,torch.float64,1327104,True,False,none,71,72,73,89,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453362944,cpu:4975460352:1327104,82944x2,torch.float64,1327104,True,False,none,76,95,96,97,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452875264,cpu:5793841152:1327104,82944x2,torch.float64,1327104,True,False,none,78,126,127,127,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453360384,cpu:5793841152:1327104,82944x2,torch.float64,1327104,True,False,none,78,155,156,157,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453920640,cpu:5785026560:1327104,82944x2,torch.float64,1327104,True,False,none,79,130,131,131,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452578912,cpu:5788401664:1327104,82944x2,torch.float64,1327104,True,False,none,80,81,82,83,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453366784,cpu:5787058176:1327104,82944x2,torch.float64,1327104,True,False,none,80,135,136,136,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452321072,cpu:5519310848:1327104,82944x2,torch.float64,1327104,True,False,none,81,82,83,83,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453253360,cpu:4976148480:1327104,82944x2,torch.float64,1327104,True,False,none,83,84,85,89,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452436960,cpu:5794496512:1327104,82944x2,torch.float64,1327104,True,False,none,84,85,86,86,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453261200,cpu:5251334144:1327104,82944x2,torch.float64,1327104,True,False,none,86,87,88,89,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452332592,cpu:5787746304:1327104,82944x2,torch.float64,1327104,True,False,none,88,125,126,127,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453352864,cpu:5790466048:1327104,82944x2,torch.float64,1327104,True,False,none,91,92,93,122,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453354544,cpu:5787090944:1327104,82944x2,torch.float64,1327104,True,False,none,93,94,95,95,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453363664,cpu:5787025408:1327104,82944x2,torch.float64,1327104,True,False,none,98,99,100,122,0,unresolved,unresolved,unresolved,unresolved,False,False
