field,value
topology.s[606],0.14794921875
topology.s[607],0.148193359375
topology.s[608],0.1484375
topology.s[609],0.148681640625
topology.s[610],0.14892578125
topology.s[611],0.149169921875
topology.s[612],0.1494140625
topology.s[613],0.149658203125
topology.s[614],0.14990234375
topology.s[615],0.150146484375
topology.s[616],0.150390625
topology.s[617],0.150634765625
topology.s[618],0.15087890625
topology.s[619],0.151123046875
topology.s[620],0.1513671875
topology.s[621],0.151611328125
topology.s[622],0.15185546875
topology.s[623],0.152099609375
topology.s[624],0.15234375
topology.s[625],0.152587890625
topology.s[626],0.15283203125
topology.s[627],0.153076171875
topology.s[628],0.1533203125
topology.s[629],0.153564453125
topology.s[630],0.15380859375
topology.s[631],0.154052734375
topology.s[632],0.154296875
topology.s[633],0.154541015625
topology.s[634],0.15478515625
topology.s[635],0.155029296875
topology.s[636],0.1552734375
topology.s[637],0.155517578125
topology.s[638],0.15576171875
topology.s[639],0.156005859375
topology.s[640],0.15625
topology.s[641],0.156494140625
topology.s[642],0.15673828125
topology.s[643],0.156982421875
topology.s[644],0.1572265625
topology.s[645],0.157470703125
topology.s[646],0.15771484375
topology.s[647],0.157958984375
topology.s[648],0.158203125
topology.s[649],0.158447265625
topology.s[650],0.15869140625
topology.s[651],0.158935546875
topology.s[652],0.1591796875
topology.s[653],0.159423828125
topology.s[654],0.15966796875
topology.s[655],0.159912109375
topology.s[656],0.16015625
topology.s[657],0.160400390625
topology.s[658],0.16064453125
topology.s[659],0.160888671875
topology.s[660],0.1611328125
topology.s[661],0.161376953125
topology.s[662],0.16162109375
topology.s[663],0.161865234375
topology.s[664],0.162109375
topology.s[665],0.162353515625
topology.s[666],0.16259765625
topology.s[667],0.162841796875
topology.s[668],0.1630859375
topology.s[669],0.163330078125
topology.s[670],0.16357421875
topology.s[671],0.163818359375
topology.s[672],0.1640625
topology.s[673],0.164306640625
topology.s[674],0.16455078125
topology.s[675],0.164794921875
topology.s[676],0.1650390625
topology.s[677],0.165283203125
topology.s[678],0.16552734375
topology.s[679],0.165771484375
topology.s[680],0.166015625
topology.s[681],0.166259765625
topology.s[682],0.16650390625
topology.s[683],0.166748046875
topology.s[684],0.1669921875
topology.s[685],0.167236328125
topology.s[686],0.16748046875
topology.s[687],0.167724609375
topology.s[688],0.16796875
topology.s[689],0.168212890625
topology.s[690],0.16845703125
topology.s[691],0.168701171875
topology.s[692],0.1689453125
topology.s[693],0.169189453125
topology.s[694],0.16943359375
topology.s[695],0.169677734375
topology.s[696],0.169921875
topology.s[697],0.170166015625
topology.s[698],0.17041015625
topology.s[699],0.170654296875
topology.s[700],0.1708984375
topology.s[701],0.171142578125
topology.s[702],0.17138671875
topology.s[703],0.171630859375
topology.s[704],0.171875
topology.s[705],0.172119140625
topology.s[706],0.17236328125
topology.s[707],0.172607421875
topology.s[708],0.1728515625
topology.s[709],0.173095703125
topology.s[710],0.17333984375
topology.s[711],0.173583984375
topology.s[712],0.173828125
topology.s[713],0.174072265625
topology.s[714],0.17431640625
topology.s[715],0.174560546875
topology.s[716],0.1748046875
topology.s[717],0.175048828125
topology.s[718],0.17529296875
topology.s[719],0.175537109375
topology.s[720],0.17578125
topology.s[721],0.176025390625
topology.s[722],0.17626953125
topology.s[723],0.176513671875
topology.s[724],0.1767578125
topology.s[725],0.177001953125
topology.s[726],0.17724609375
topology.s[727],0.177490234375
topology.s[728],0.177734375
topology.s[729],0.177978515625
topology.s[730],0.17822265625
