panel,lineage,run_id,Q_def,origin,record_id,variant
(a),HET_S1_02,D1_seed20700713,0.1338286385038824,14,HET_S1_02_LOW_N8_O14,LOW
(a),HET_S1_02,D1_seed20700713,0.13141792803618738,15,HET_S1_02_LOW_N8_O15,LOW
(a),HET_S1_02,D1_seed20700713,0.12900257128571668,16,HET_S1_02_LOW_N8_O16,LOW
(a),HET_S1_02,D1_seed20700713,0.1265838382459472,17,HET_S1_02_LOW_N8_O17,LOW
(a),HET_S1_02,D1_seed20700713,0.12416308221946828,18,HET_S1_02_LOW_N8_O18,LOW
(a),HET_S1_02,D1_seed20700713,0.12174150015185164,19,HET_S1_02_LOW_N8_O19,LOW
(a),HET_S1_02,D1_seed20700713,0.11932056996907689,20,HET_S1_02_LOW_N8_O20,LOW
(a),HET_S1_02,D1_seed20700713,0.1169018521125137,21,HET_S1_02_LOW_N8_O21,LOW
(a),HET_S1_02,D1_seed20700713,0.11448691820238908,22,HET_S1_02_LOW_N8_O22,LOW
(a),HET_S1_02,D1_seed20700713,0.11207750706544589,23,HET_S1_02_LOW_N8_O23,LOW
(a),HET_S1_02,D1_seed20700713,0.1096754890099724,24,HET_S1_02_LOW_N8_O24,LOW
(a),HET_S1_02,D1_seed20700713,0.10728286833129115,25,HET_S1_02_LOW_N8_O25,LOW
(a),HET_S1_02,D1_seed20700713,0.10490177343321445,26,HET_S1_02_LOW_N8_O26,LOW
(a),HET_S1_02,D1_seed20700713,0.10253446794294573,27,HET_S1_02_LOW_N8_O27,LOW
(a),HET_S1_02,D1_seed20700713,0.100183371754547,28,HET_S1_02_LOW_N8_O28,LOW
(a),HET_S1_02,D1_seed20700713,0.09785111383947559,29,HET_S1_02_LOW_N8_O29,LOW
(a),HET_S1_02,D1_seed20700713,0.09554051020059576,30,HET_S1_02_LOW_N8_O30,LOW
(a),HET_S1_02,D1_seed20700713,0.09325460150625786,31,HET_S1_02_LOW_N8_O31,LOW
(a),HET_S1_02,D1_seed20700713,0.22208557647139143,0,HET_S1_02_MAIN_N8_O00,MAIN
(a),HET_S1_02,D1_seed20700713,0.21908779878414167,1,HET_S1_02_MAIN_N8_O01,MAIN
(a),HET_S1_02,D1_seed20700713,0.21606777043380979,2,HET_S1_02_MAIN_N8_O02,MAIN
(a),HET_S1_02,D1_seed20700713,0.21302637591598844,3,HET_S1_02_MAIN_N8_O03,MAIN
(a),HET_S1_02,D1_seed20700713,0.20996453732952133,4,HET_S1_02_MAIN_N8_O04,MAIN
(a),HET_S1_02,D1_seed20700713,0.20688320207726962,5,HET_S1_02_MAIN_N8_O05,MAIN
(a),HET_S1_02,D1_seed20700713,0.2037833399715288,6,HET_S1_02_MAIN_N8_O06,MAIN
(a),HET_S1_02,D1_seed20700713,0.20066596367080508,7,HET_S1_02_MAIN_N8_O07,MAIN
(a),HET_S1_02,D1_seed20700713,0.19753214772316124,8,HET_S1_02_MAIN_N8_O08,MAIN
(a),HET_S1_02,D1_seed20700713,0.19438304154043778,9,HET_S1_02_MAIN_N8_O09,MAIN
(a),HET_S1_02,D1_seed20700713,0.19121982211250865,10,HET_S1_02_MAIN_N8_O10,MAIN
