panel,lineage,variant,origin,run_id,error,target_RMS,source_RMS
(a),LCDF_01,VARIANT_MAIN,4,D1_seed20600613,0.30358736463287195,0.10675412239631286,0.0027343618485484184
(a),LCDF_01,VARIANT_MAIN,9,D1_seed20600613,0.33005706870475326,0.11763814596136721,0.002557959365445767
(a),LCDF_01,VARIANT_MAIN,20,D1_seed20600613,0.37036609764876555,0.13516378646152974,0.0022712524965928485
(a),LCDF_01,VARIANT_MAIN,16,D1_seed20600613,0.3586995514596326,0.12987160597935968,0.0023567682318186445
(a),LCDF_01,VARIANT_MAIN,30,D1_seed20600613,0.38376595965415655,0.14261852019480561,0.00215203562118915
(a),LCDF_01,VARIANT_MAIN,31,D1_seed20600613,0.3838421017599877,0.14289678804101089,0.0021470122037933396
(a),LCDF_01,VARIANT_MAIN,26,D1_seed20600613,0.3811521514190335,0.14064876992208356,0.0021842339570892345
(a),LCDF_01,VARIANT_MAIN,0,D1_seed20600613,0.2791025707189726,0.0968821776243109,0.002887135279702624
(a),LCDF_01,VARIANT_MAIN,8,D1_seed20600613,0.3251485671460325,0.11559801797933558,0.002591433216031943
(a),LCDF_01,VARIANT_MAIN,17,D1_seed20600613,0.3619450190678029,0.13131411123480488,0.002333296610550928
(a),LCDF_01,VARIANT_MAIN,12,D1_seed20600613,0.34357847942012354,0.1233286708218191,0.002464197348755729
(a),LCDF_01,VARIANT_MAIN,7,D1_seed20600613,0.3200442125504337,0.11348825992300439,0.002625896504493144
(a),LCDF_01,VARIANT_MAIN,15,D1_seed20600613,0.3552380133131404,0.12835086965799214,0.0023816188308595
(a),LCDF_01,VARIANT_MAIN,25,D1_seed20600613,0.37992335958493423,0.13994364670819012,0.002195415238455323
(a),LCDF_01,VARIANT_MAIN,10,D1_seed20600613,0.3347667596143948,0.11960741459582275,0.002525550958640207
(a),LCDF_01,VARIANT_MAIN,21,D1_seed20600613,0.3727290431943927,0.13628515354811283,0.0022533603946099643
(a),LCDF_01,VARIANT_MAIN,28,D1_seed20600613,0.38292032391677405,0.14180446441542224,0.0021656746150370753
(a),LCDF_01,VARIANT_MAIN,19,D1_seed20600613,0.3677800504686772,0.13396099903548983,0.0022905359529741495
(a),LCDF_01,VARIANT_MAIN,3,D1_seed20600613,0.29773150464231873,0.10437896376101892,0.002771891704970016
(a),LCDF_01,VARIANT_MAIN,2,D1_seed20600613,0.29169631066780427,0.10194093468271706,0.0028099374055137022
(a),LCDF_01,VARIANT_MAIN,14,D1_seed20600613,0.3515624906864974,0.1267528186932265,0.0024078276534041806
(a),LCDF_01,VARIANT_MAIN,23,D1_seed20600613,0.37678006799419694,0.13828097295927808,0.002221699752922158
(a),LCDF_01,VARIANT_MAIN,24,D1_seed20600613,0.37846570555755155,0.13915422246166156,0.002207896060242691
(a),LCDF_01,VARIANT_MAIN,27,D1_seed20600613,0.3821513403204935,0.1412691671292735,0.0021743282857974535
(a),LCDF_01,VARIANT_MAIN,13,D1_seed20600613,0.34767519854456463,0.12507841608359335,0.002435366063976226
(a),LCDF_01,VARIANT_MAIN,5,D1_seed20600613,0.30926036256756123,0.10906497957479976,0.002697453167969648
(a),LCDF_01,VARIANT_MAIN,11,D1_seed20600613,0.3392748019965495,0.12150463728474067,0.0024942766401261467
(a),LCDF_01,VARIANT_MAIN,18,D1_seed20600613,0.36497246024913604,0.13267751613218678,0.002311217160110289
(a),LCDF_01,VARIANT_MAIN,6,D1_seed20600613,0.3147470804756456,0.11131014299800493,0.0026612662864216132
(a),LCDF_01,VARIANT_MAIN,29,D1_seed20600613,0.383458638569453,0.14225433915277133,0.002158250530461918
(a),LCDF_01,VARIANT_LOW,21,D2_seed20600611,0.2696238395487819,0.10221261450048304,0.0013970071230933248
(a),LCDF_01,VARIANT_LOW,10,D2_seed20600611,0.24161870651112682,0.08970472337196658,0.001749882735379505
(a),LCDF_01,VARIANT_LOW,3,D2_seed20600611,0.21450017947090372,0.07828367051047995,0.0020055298322172238
(a),LCDF_01,VARIANT_LOW,14,D2_seed20600611,0.2539636600771231,0.09506361350551965,0.0016101779035508717
(a),LCDF_01,VARIANT_LOW,24,D2_seed20600611,0.27392377226644277,0.10436433259260278,0.001324447991509242
(a),LCDF_01,VARIANT_LOW,15,D2_seed20600611,0.2566718774547164,0.0962621125151282,0.0015768270728496669
(a),LCDF_01,VARIANT_LOW,2,D2_seed20600611,0.2100894666918843,0.07645518718777061,0.0020419188332075266
(a),LCDF_01,VARIANT_LOW,7,D2_seed20600611,0.2308256150253405,0.08511548166759193,0.001858858288949257
(a),LCDF_01,VARIANT_LOW,28,D2_seed20600611,0.2773449541109061,0.10635193238520216,0.0012514943114119428
(a),LCDF_01,VARIANT_LOW,16,D2_seed20600611,0.2592254852985046,0.0974026264568367,0.00154428591761469
(a),LCDF_01,VARIANT_LOW,22,D2_seed20600611,0.27122080048940655,0.10299203792604647,0.0013713091031071491
(a),LCDF_01,VARIANT_LOW,9,D2_seed20600611,0.2381637450185834,0.08822781338271928,0.0017859486631414169
(a),LCDF_01,VARIANT_LOW,30,D2_seed20600611,0.2780549563459795,0.106962447715927,0.0012267699411739482
(a),LCDF_01,VARIANT_LOW,26,D2_seed20600611,0.27596678541551856,0.10548519777572421,0.0012842686887596538
(a),LCDF_01,VARIANT_LOW,11,D2_seed20600611,0.24492812811805215,0.09112759904933894,0.0017141870347428818
(a),LCDF_01,VARIANT_LOW,23,D2_seed20600611,0.27265441122724426,0.10370942137365782,0.001347090519272069
(a),LCDF_01,VARIANT_LOW,4,D2_seed20600611,0.21878169021463514,0.08006500017141395,0.0019689525065454882
(a),LCDF_01,VARIANT_LOW,5,D2_seed20600611,0.22293141957154425,0.08179810303478673,0.001932263042230875
(a),LCDF_01,VARIANT_LOW,31,D2_seed20600611,0.2781587970439157,0.10717113915266088,0.00121759660253287
(a),LCDF_01,VARIANT_LOW,8,D2_seed20600611,0.23456532520178264,0.08669775887915655,0.0018223012590509475
(a),LCDF_01,VARIANT_LOW,12,D2_seed20600611,0.2480900159379096,0.09249558316308595,0.0016789464999369447
(a),LCDF_01,VARIANT_LOW,18,D2_seed20600611,0.2638628119198838,0.09950698581516576,0.0014820037402338525
(a),LCDF_01,VARIANT_LOW,6,D2_seed20600611,0.2269468675496488,0.08348193500717399,0.001895538792900068
