label,solution,time,density_absolute_linf,density_relative_linf,pressure_absolute_linf,pressure_relative_linf,pressure_acceleration_absolute_linf,pressure_acceleration_relative_linf,viscosity_acceleration_absolute_linf,viscosity_acceleration_relative_linf,source_absolute_linf,source_relative_linf,total_acceleration_absolute_linf,total_acceleration_relative_linf,dx_dt_absolute_linf,dx_dt_relative_linf,dv_dt_absolute_linf,dv_dt_relative_linf,finite
edge_switch_23_before,MMS_B,0.0067718506968555536,0.0,0.0,0.0,0.0,2.831068712794149e-15,1.1754472962049668e-15,2.220446049250313e-16,6.266961614663436e-16,0.0,0.0,2.886579864025407e-15,1.3630314552052694e-15,0.0,0.0,2.886579864025407e-15,1.3630314552052694e-15,True
edge_switch_23_after,MMS_B,0.0067718507168555535,0.0,0.0,0.0,0.0,2.6645352591003757e-15,1.106303337328968e-15,1.6653345369377348e-16,4.700221211004516e-16,0.0,0.0,2.6645352591003757e-15,1.2581828817842055e-15,0.0,0.0,2.6645352591003757e-15,1.2581828817842055e-15,True
edge_switch_24_before,MMS_B,0.0061994022084179605,0.0,0.0,0.0,0.0,2.220446049250313e-15,9.281977906072426e-16,2.7755575615628914e-16,7.833353272636224e-16,0.0,0.0,2.3314683517128287e-15,1.0983827869878102e-15,0.0,0.0,2.3314683517128287e-15,1.0983827869878102e-15,True
edge_switch_24_after,MMS_B,0.0061994022284179605,0.0,0.0,0.0,0.0,3.2751579226442118e-15,1.3690917408376163e-15,2.220446049250313e-16,6.266682618119217e-16,0.0,0.0,3.219646771412954e-15,1.5168143250638036e-15,0.0,0.0,3.219646771412954e-15,1.5168143250638036e-15,True
edge_switch_25_before,MMS_B,0.006698336709799415,0.0,0.0,0.0,0.0,2.942091015256665e-15,1.2226560636671717e-15,2.0816681711721685e-16,5.875244397607924e-16,0.0,0.0,2.886579864025407e-15,1.3627855589950526e-15,0.0,0.0,2.886579864025407e-15,1.3627855589950526e-15,True
edge_switch_25_after,MMS_B,0.006698336729799414,0.0,0.0,0.0,0.0,1.9984014443252818e-15,8.304833637960826e-16,2.7755575615628914e-16,7.833659196822279e-16,0.0,0.0,2.220446049250313e-15,1.0482965838985093e-15,0.0,0.0,2.220446049250313e-15,1.0482965838985093e-15,True
edge_switch_26_before,MMS_B,0.0061994022084179605,0.0,0.0,0.0,0.0,2.220446049250313e-15,9.281977906072426e-16,2.7755575615628914e-16,7.833353272636224e-16,0.0,0.0,2.3314683517128287e-15,1.0983827869878102e-15,0.0,0.0,2.3314683517128287e-15,1.0983827869878102e-15,True
edge_switch_26_after,MMS_B,0.0061994022284179605,0.0,0.0,0.0,0.0,3.2751579226442118e-15,1.3690917408376163e-15,2.220446049250313e-16,6.266682618119217e-16,0.0,0.0,3.219646771412954e-15,1.5168143250638036e-15,0.0,0.0,3.219646771412954e-15,1.5168143250638036e-15,True
edge_switch_27_before,MMS_B,0.006664885901422632,0.0,0.0,0.0,0.0,2.220446049250313e-15,9.231382087755971e-16,2.220446049250313e-16,6.266911616273299e-16,0.0,0.0,2.220446049250313e-15,1.048198765359429e-15,0.0,0.0,2.220446049250313e-15,1.048198765359429e-15,True
edge_switch_27_after,MMS_B,0.0066648859214226315,0.0,0.0,0.0,0.0,3.0531133177191805e-15,1.269315036755758e-15,2.220446049250313e-16,6.266911616282742e-16,0.0,0.0,2.9976021664879227e-15,1.4150683333175378e-15,0.0,0.0,2.9976021664879227e-15,1.4150683333175378e-15,True
edge_switch_28_before,MMS_B,0.006628074001909063,0.0,0.0,0.0,0.0,2.55351295663786e-15,1.0620857760117518e-15,1.942890293094024e-16,5.483532409826092e-16,0.0,0.0,2.55351295663786e-15,1.2052950289809053e-15,0.0,0.0,2.55351295663786e-15,1.2052950289809053e-15,True
edge_switch_28_after,MMS_B,0.0066280740219090625,0.0,0.0,0.0,0.0,3.774758283725532e-15,1.5700398424182052e-15,1.942890293094024e-16,5.483532409834399e-16,0.0,0.0,3.552713678800501e-15,1.6769322143391908e-15,0.0,0.0,3.552713678800501e-15,1.6769322143391908e-15,True
edge_switch_29_before,MMS_B,0.006632265260710653,0.0,0.0,0.0,0.0,2.886579864025407e-15,1.2005574929108322e-15,2.220446049250313e-16,6.266896173438182e-16,0.0,0.0,2.886579864025407e-15,1.36252519572909e-15,0.0,0.0,2.886579864025407e-15,1.36252519572909e-15,True
edge_switch_29_after,MMS_B,0.006632265280710654,0.0,0.0,0.0,0.0,3.164135620181696e-15,1.3159957130626766e-15,1.942890293094024e-16,5.483534151766722e-16,0.0,0.0,3.1086244689504383e-15,1.4673348262607993e-15,0.0,0.0,3.1086244689504383e-15,1.4673348262607993e-15,True
edge_switch_30_before,MMS_B,0.0066280740019085595,0.0,0.0,0.0,0.0,3.1086244689504383e-15,1.2929739881882922e-15,2.220446049250313e-16,6.266894182658393e-16,0.0,0.0,2.9976021664879227e-15,1.4149115557599666e-15,0.0,0.0,2.9976021664879227e-15,1.4149115557599666e-15,True
edge_switch_30_after,MMS_B,0.00662807402190856,0.0,0.0,0.0,0.0,2.9976021664879227e-15,1.2467963454496585e-15,3.608224830031759e-16,1.018370304683533e-15,0.0,0.0,2.9976021664879227e-15,1.4149115558485988e-15,0.0,0.0,2.9976021664879227e-15,1.4149115558485988e-15,True
