particle_i,particle_j,time_before,time_after,estimated_event_time,ratio_before,ratio_after,added,reciprocal,evaluation_ratio_before,evaluation_ratio_after,directed_edge_before,reverse_edge_before,directed_edge_after,reverse_edge_after,pressure_before_l2,pressure_after_l2,viscosity_before_l2,viscosity_after_l2,pair_total_max_l2,aggregated_rhs_jump_linf
12,16,0.008,0.009000000000000001,0.008077764129597969,1.0001434208386222,0.9983002097744851,True,True,1.0000000000184415,0.9999999999815574,False,False,True,True,0.0,1.7794565204378374e-53,0.0,7.85842503845343e-54,2.435610995771262e-53,7.54976525740858e-10
17,45,0.008,0.009000000000000001,0.008726146899847218,1.0012415439097953,0.9995317987688664,True,True,1.000000000017097,0.999999999982903,False,False,True,True,0.0,3.636940600267093e-54,0.0,3.932446513309173e-54,9.609939979594314e-55,7.014251401926686e-10
18,46,0.008,0.009000000000000001,0.008937173613695792,1.0015618361447363,0.9998953424039904,True,True,1.000000000016659,0.9999999999833414,False,False,True,True,0.0,1.4350820958210163e-53,0.0,4.021541177735605e-54,1.7771313080024647e-53,7.245444244574628e-10
21,214,0.008,0.009000000000000001,0.008979720555900078,1.0016184873754288,0.9999665136080206,True,True,1.0000000000165132,0.9999999999834873,False,False,True,True,0.0,1.3734071597736255e-53,0.0,3.848211901598804e-54,1.6983740410338912e-53,7.290990033936851e-10
22,213,0.008,0.009000000000000001,0.008726146899847026,1.001241543909795,0.9995317987688662,True,True,1.0000000000170972,0.9999999999829028,False,False,True,True,0.0,3.637176777519884e-54,0.0,3.932701880244626e-54,9.610564034071019e-55,7.016356384781375e-10
25,218,0.008,0.009000000000000001,0.008740484882060681,1.001262157077029,0.9995576818010127,True,True,1.0000000000170446,0.9999999999829563,False,False,True,True,0.0,3.58059166357119e-53,0.0,3.8812375434494616e-54,3.9573915359590415e-53,7.034879345724221e-10
26,217,0.008,0.009000000000000001,0.008937173613695792,1.0015618361447363,0.9998953424039904,True,True,1.000000000016659,0.9999999999833419,False,False,True,True,0.0,1.4382088191136593e-53,0.0,4.0303032175677626e-54,1.7810032801162314e-53,7.245444244574628e-10
29,33,0.008,0.009000000000000001,0.0089797205559005,1.0016184873754301,0.9999665136080215,True,True,1.0000000000165132,0.9999999999834871,False,False,True,True,0.0,1.3766755407443382e-53,0.0,3.857369726693927e-54,1.7024157655564683e-53,7.288796233240191e-10
30,34,0.008,0.009000000000000001,0.008740484882060681,1.0012621570770281,0.9995576818010125,True,True,1.0000000000170444,0.9999999999829559,False,False,True,True,0.0,3.581058165857889e-53,0.0,3.881743215797209e-54,3.9579071301330495e-53,7.034879345724221e-10
37,230,0.008,0.009000000000000001,0.008740484882060681,1.001262157077029,0.9995576818010127,True,True,1.0000000000170446,0.9999999999829563,False,False,True,True,0.0,3.5716556290470936e-53,0.0,3.871551191039566e-54,3.947515127054069e-53,7.034879345724221e-10
