step,gc_collected,watched_tensor_reference_count,alive_tensor_reference_count,age0_alive_tensor_reference_count,age1_alive_tensor_reference_count,age2_alive_tensor_reference_count,old_survivor_storage_count,old_survivor_bytes,old_survivor_slot_count,same_slot_multiple_generation_count
418,False,10216,6273,18,15,15,0,0,0,0
419,False,10248,6305,32,18,15,0,0,0,0
420,False,10280,6303,18,15,15,0,0,0,0
421,False,10312,6335,32,18,15,0,0,0,0
422,False,10344,6333,18,15,15,0,0,0,0
423,False,10376,6365,32,18,15,0,0,0,0
424,False,10408,6363,18,15,15,0,0,0,0
425,False,10440,6395,32,18,15,0,0,0,0
425,True,10440,6378,18,15,15,0,0,0,0
426,False,10272,6410,32,18,15,0,0,0,0
427,False,10304,6408,18,15,15,0,0,0,0
428,False,10336,6440,32,18,15,0,0,0,0
429,False,10368,6438,18,15,15,0,0,0,0
430,False,10400,6470,32,18,15,0,0,0,0
431,False,10432,6468,18,15,15,0,0,0,0
432,False,10464,6500,32,18,15,0,0,0,0
433,False,10496,6498,18,15,15,0,0,0,0
434,False,10528,6530,32,18,15,0,0,0,0
435,False,10560,6528,18,15,15,0,0,0,0
436,False,10592,6560,32,18,15,0,0,0,0
437,False,10624,6558,18,15,15,0,0,0,0
438,False,10656,6590,32,18,15,0,0,0,0
439,False,10688,6588,18,15,15,0,0,0,0
440,False,10720,6620,32,18,15,0,0,0,0
441,False,10752,6618,18,15,15,0,0,0,0
442,False,10784,6650,32,18,15,0,0,0,0
443,False,10816,6648,18,15,15,0,0,0,0
444,False,10848,6680,32,18,15,0,0,0,0
445,False,10880,6678,18,15,15,0,0,0,0
446,False,10912,6710,32,18,15,0,0,0,0
447,False,10944,6708,18,15,15,0,0,0,0
448,False,10976,6740,32,18,15,0,0,0,0
449,False,11008,6738,18,15,15,0,0,0,0
450,False,11040,6770,32,18,15,0,0,0,0
450,True,11040,6753,18,15,15,0,0,0,0
451,False,10872,6785,32,18,15,0,0,0,0
452,False,10904,6783,18,15,15,0,0,0,0
453,False,10936,6815,32,18,15,0,0,0,0
454,False,10968,6813,18,15,15,0,0,0,0
455,False,11000,6845,32,18,15,0,0,0,0
456,False,11032,6843,18,15,15,0,0,0,0
457,False,11064,6875,32,18,15,0,0,0,0
458,False,11096,6873,18,15,15,0,0,0,0
459,False,11128,6905,32,18,15,0,0,0,0
460,False,11160,6903,18,15,15,0,0,0,0
461,False,11192,6935,32,18,15,0,0,0,0
462,False,11224,6933,18,15,15,0,0,0,0
463,False,11256,6965,32,18,15,0,0,0,0
464,False,11288,6963,18,15,15,0,0,0,0
465,False,11320,6995,32,18,15,0,0,0,0
466,False,11352,6993,18,15,15,0,0,0,0
467,False,11384,7025,32,18,15,0,0,0,0
468,False,11416,7023,18,15,15,0,0,0,0
469,False,11448,7055,32,18,15,0,0,0,0
470,False,11480,7053,18,15,15,0,0,0,0
471,False,11512,7085,32,18,15,0,0,0,0
472,False,11544,7083,18,15,15,0,0,0,0
473,False,11576,7115,32,18,15,0,0,0,0
474,False,11608,7113,18,15,15,0,0,0,0
475,False,11640,7145,32,18,15,0,0,0,0
475,True,11640,7128,18,15,15,0,0,0,0
476,False,11472,7160,32,18,15,0,0,0,0
477,False,11504,7158,18,15,15,0,0,0,0
478,False,11536,7190,32,18,15,0,0,0,0
479,False,11568,7188,18,15,15,0,0,0,0
480,False,11600,7220,32,18,15,0,0,0,0
481,False,11632,7218,18,15,15,0,0,0,0
482,False,11664,7250,32,18,15,0,0,0,0
483,False,11696,7248,18,15,15,0,0,0,0
484,False,11728,7280,32,18,15,0,0,0,0
485,False,11760,7278,18,15,15,0,0,0,0
486,False,11792,7310,32,18,15,0,0,0,0
487,False,11824,7308,18,15,15,0,0,0,0
488,False,11856,7340,32,18,15,0,0,0,0
489,False,11888,7338,18,15,15,0,0,0,0
490,False,11920,7370,32,18,15,0,0,0,0
491,False,11952,7368,18,15,15,0,0,0,0
492,False,11984,7400,32,18,15,0,0,0,0
493,False,12016,7398,18,15,15,0,0,0,0
494,False,12048,7430,32,18,15,0,0,0,0
495,False,12080,7428,18,15,15,0,0,0,0
496,False,12112,7460,32,18,15,0,0,0,0
497,False,12144,7458,18,15,15,0,0,0,0
498,False,12176,7490,32,18,15,0,0,0,0
499,False,12208,7488,18,15,15,0,0,0,0
500,False,12240,7520,32,18,15,0,0,0,0
500,True,12240,7503,18,15,15,0,0,0,0
501,False,12072,7535,32,18,15,0,0,0,0
502,False,12104,7533,18,15,15,0,0,0,0
503,False,12136,7565,32,18,15,0,0,0,0
504,False,12168,7563,18,15,15,0,0,0,0
505,False,12200,7595,32,18,15,0,0,0,0
506,False,12232,7593,18,15,15,0,0,0,0
507,False,12264,7625,32,18,15,0,0,0,0
508,False,12296,7623,18,15,15,0,0,0,0
509,False,12328,7655,32,18,15,0,0,0,0
510,False,12360,7653,18,15,15,0,0,0,0
