force_call_index,state_time,edge_count,edge_identity_sha256,duplicate_edge_count,nonreciprocal_edge_count,dimensionless_cutoff_margin,full_audit,omitted_strict_support_edge_count,unexpected_edge_count
158,0.03925000000000003,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
159,0.03950000000000003,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
160,0.03975000000000003,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
161,0.04000000000000003,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
162,0.04025000000000003,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
163,0.04050000000000003,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
164,0.04075000000000003,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
165,0.04100000000000003,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
166,0.04125000000000003,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
167,0.04150000000000003,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
168,0.04175000000000003,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
169,0.04200000000000003,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
170,0.04225000000000003,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
171,0.04250000000000003,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
172,0.04275000000000003,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
173,0.04300000000000003,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
174,0.04325000000000003,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
175,0.04350000000000003,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
176,0.04375000000000003,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
177,0.04400000000000003,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
178,0.04425000000000003,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
179,0.04450000000000003,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
180,0.04475000000000003,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
181,0.04500000000000003,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
182,0.04525000000000003,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
183,0.045500000000000033,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
184,0.045750000000000034,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
185,0.046000000000000034,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
186,0.046250000000000034,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
187,0.046500000000000034,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
188,0.046750000000000035,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
189,0.047000000000000035,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
190,0.047250000000000035,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
191,0.047500000000000035,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
192,0.047750000000000035,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
193,0.048000000000000036,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
194,0.048250000000000036,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
195,0.048500000000000036,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
196,0.048750000000000036,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
197,0.04900000000000004,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
198,0.04925000000000004,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
