panel,arm,group,lineage,model_seed,origin,variant,active_factors,component,cosine_alignment,full_gradient_L2,historical_reverse,mean_dot,primary_reason,projection_ratio,reconstructed_derivative,reconstruction_abs_error,reconstruction_pass,reconstruction_relative_error,residual_RMS,scaled_projection,sqrt_parameter_dimension,state_JVP_RMS,L2,Linf,RMS,deterministic_repeat,element_count,finite_count,histogram_decade,nonzero_element_count,sign_balance,A_mid,A_start,RHO_accept,RHO_over_dt2_A_mid,V_accept,V_over_dt_A_mid,X_accept,X_over_dt2_A_mid,D0_dimensionless_state_residual_RMS,D0_loss,random_minus_D0_state_RMS,random_model_loss,resolution,reason,count
a-d,D1,D1_TOKEN_ENCODER,LCDF_01,20400403,19,VARIANT_LOW,"[""GROUP_DIRECTION_PROJECTION_DILUTION""]",L_v,0.987850634151895,1.4648655362125387e-12,-5.519768706391709e-14,-2.7598843531961082e-14,GROUP_DIRECTION_PROJECTION_DILUTION,0.03768106061572904,-5.5197687063922164e-14,5.073953342381548e-27,True,9.192329628786097e-14,2.7369403402267764e-06,1.4139187244710194,37.52332607858744,1.0207849786128388e-08,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_TOKEN_ENCODER,LCDF_01,20400403,19,VARIANT_LOW,[],L_rho,0.9762692924854042,6.069265179789357e-15,2.2739166685541054e-16,1.1369583342774126e-16,UNRESOLVED,0.037466095172876024,2.2739166685548252e-16,7.198355760141733e-29,True,3.1656198574403375e-13,1.0547494447673649e-06,1.4058525060632179,37.52332607858744,1.1041437407855524e-10,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_PAIR_HEAD,LCDF_01,20400403,19,VARIANT_LOW,"[""TASK_RESIDUAL_TOO_SMALL""]",L_x,0.849402340282,1.6678474208752317e-17,1.3506714840205295e-19,6.753357420092537e-20,TASK_RESIDUAL_TOO_SMALL,0.008098291648955163,1.3506714840185075e-19,2.0219857003635492e-31,True,1.4970225730573107e-12,5.441003296598016e-09,0.5343645333550047,65.98484674529449,1.4612593162200695e-11,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_PAIR_HEAD,LCDF_01,20400403,19,VARIANT_LOW,"[""GROUP_DIRECTION_PROJECTION_DILUTION""]",L_v,0.8507360424522374,4.2899391916222075e-12,3.507195484400873e-14,1.7535977422009944e-14,GROUP_DIRECTION_PROJECTION_DILUTION,0.008175396731147264,3.507195484401989e-14,1.1157648643445991e-26,True,3.1813592065423405e-13,2.7369403402267764e-06,0.5394523003867338,65.98484674529449,7.531297689083953e-09,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_PAIR_HEAD,LCDF_01,20400403,19,VARIANT_LOW,[],L_rho,0.7610754058184758,1.780369349582907e-14,-1.442699869550738e-16,-7.213499347758167e-17,UNRESOLVED,0.008103373998708325,-1.4426998695516333e-16,8.953571274258484e-29,True,6.206121912966625e-13,1.0547494447673649e-06,0.534699891424573,65.98484674529449,8.986053574254496e-11,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_TOKEN_ENCODER,LCDF_01,20400401,5,VARIANT_MAIN,"[""TASK_RESIDUAL_TOO_SMALL""]",L_x,0.4498444016369233,9.976974992651331e-18,-2.488966074253061e-20,-1.2444830371241631e-20,TASK_RESIDUAL_TOO_SMALL,0.002494710146197962,-2.4889660742483262e-20,4.734778397654495e-32,True,1.9023073261757507e-12,6.097839999427739e-09,0.09360982228734667,37.52332607858744,4.53681047035477e-12,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_TOKEN_ENCODER,LCDF_01,20400401,5,VARIANT_MAIN,"[""GROUP_DIRECTION_PROJECTION_DILUTION""]",L_v,0.433483723391234,2.5322164955958298e-12,-6.102006738263008e-15,-3.051003369126195e-15,GROUP_DIRECTION_PROJECTION_DILUTION,0.002409749225185111,-6.10200673825239e-15,1.0618067784274819e-26,True,1.7400944049592035e-12,3.006024026707707e-06,0.09042180594424436,37.52332607858744,2.3414098693836563e-09,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_TOKEN_ENCODER,LCDF_01,20400401,5,VARIANT_MAIN,[],L_rho,0.3524018845528001,2.3154817368039097e-14,5.873541600522522e-17,2.936770800264801e-17,UNRESOLVED,0.0025366391395640416,5.873541600529602e-17,7.080026624358581e-29,True,1.2054101436380724e-12,2.569376522667556e-06,0.095183137577569,37.52332607858744,3.2434266414613896e-11,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_PAIR_HEAD,LCDF_01,20400401,5,VARIANT_MAIN,"[""TASK_RESIDUAL_TOO_SMALL""]",L_x,0.9936061998632403,2.788624886009559e-17,-4.623303726925694e-19,-2.3116518634629374e-19,TASK_RESIDUAL_TOO_SMALL,0.016579152506745024,-4.623303726925875e-19,1.8103741477240017e-32,True,3.9157586320372575e-14,6.097839999427739e-09,1.0939728373244353,65.98484674529449,3.8153300409603875e-11,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_PAIR_HEAD,LCDF_01,20400401,5,VARIANT_MAIN,"[""GROUP_DIRECTION_PROJECTION_DILUTION""]",L_v,0.993341144018582,7.0333822558085945e-12,-1.140659038916827e-13,-5.703295194580494e-14,GROUP_DIRECTION_PROJECTION_DILUTION,0.016217788219526977,-1.1406590389160987e-13,7.282763877000381e-26,True,6.384698344139817e-13,3.006024026707707e-06,1.07012827021313,65.98484674529449,1.9100070878638375e-08,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_PAIR_HEAD,LCDF_01,20400401,5,VARIANT_MAIN,[],L_rho,0.9886960751678784,6.470929095886033e-14,1.0737554534161035e-15,5.368777267088585e-16,UNRESOLVED,0.016593528340447368,1.073755453417717e-15,1.6134177664032744e-27,True,1.5025933151425083e-12,2.569376522667556e-06,1.0949214245081205,65.98484674529449,2.1134151933929635e-10,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_TOKEN_ENCODER,LCDF_01,20400402,5,VARIANT_MAIN,"[""TASK_RESIDUAL_TOO_SMALL""]",L_x,0.8788084468373331,9.02649520728713e-18,1.8416051839703685e-19,9.208025919851534e-20,TASK_RESIDUAL_TOO_SMALL,0.020402217490611777,1.8416051839703068e-19,6.162975822039155e-33,True,3.346523932318773e-14,6.119721692465984e-09,0.7655590596264856,37.52332607858744,1.7121453805713e-11,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_TOKEN_ENCODER,LCDF_01,20400402,5,VARIANT_MAIN,"[""GROUP_DIRECTION_PROJECTION_DILUTION""]",L_v,0.8827805150655037,2.2916605085202687e-12,4.783160327759831e-14,2.3915801638808876e-14,GROUP_DIRECTION_PROJECTION_DILUTION,0.02087202842644581,4.783160327761775e-14,1.94438435918875e-26,True,4.0650620634717513e-13,3.018533387469357e-06,0.7831879285670724,37.52332607858744,8.975036429387571e-09,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_TOKEN_ENCODER,LCDF_01,20400402,5,VARIANT_MAIN,[],L_rho,0.8043630593363573,2.0856336126497297e-14,-4.2701105350757877e-16,-2.1350552675386258e-16,UNRESOLVED,0.020473924610616295,-4.2701105350772516e-16,1.46383001725074e-28,True,3.428084601618533e-13,2.569255300442221e-06,0.7682497492725716,37.52332607858744,1.0331175594866885e-10,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_PAIR_HEAD,LCDF_01,20400402,5,VARIANT_MAIN,"[""TASK_RESIDUAL_TOO_SMALL""]",L_x,0.9460196028278218,2.378651877955933e-17,-1.88579837044369e-19,-9.428991852229518e-20,TASK_RESIDUAL_TOO_SMALL,0.00792801329156341,-1.8857983704459036e-19,2.213615729830079e-31,True,1.1738347877067378e-12,6.119721692465984e-09,0.5231287420384694,65.98484674529449,1.6286713346506235e-11,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_PAIR_HEAD,LCDF_01,20400402,5,VARIANT_MAIN,"[""GROUP_DIRECTION_PROJECTION_DILUTION""]",L_v,0.9464653414988492,5.998409533279513e-12,-4.8232260881550986e-14,-2.4116130440782157e-14,GROUP_DIRECTION_PROJECTION_DILUTION,0.008040841595418867,-4.8232260881564314e-14,1.3328593854614215e-26,True,2.763418842700108e-13,3.018533387469357e-06,0.5305737003769032,65.98484674529449,8.441253157007015e-09,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_PAIR_HEAD,LCDF_01,20400402,5,VARIANT_MAIN,[],L_rho,0.9063633558008295,5.4993468223185974e-14,4.3515855853318145e-16,2.1757927926682756e-16,UNRESOLVED,0.00791291352578692,4.351585585336551e-16,4.736616697786413e-28,True,1.0884806480073132e-12,2.569255300442221e-06,0.5221323863078178,65.98484674529449,9.343464372708547e-11,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_TOKEN_ENCODER,LCDF_01,20400403,5,VARIANT_MAIN,"[""TASK_RESIDUAL_TOO_SMALL""]",L_x,0.5950539550031344,8.178211532372027e-18,-4.904711865579547e-20,-2.452355932796569e-20,TASK_RESIDUAL_TOO_SMALL,0.005997291518035574,-4.904711865593138e-20,1.3591046876297675e-31,True,2.7710184102025898e-12,5.95785018929298e-09,0.2250383252195955,37.52332607858744,6.917315411786356e-12,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_TOKEN_ENCODER,LCDF_01,20400403,5,VARIANT_MAIN,"[""GROUP_DIRECTION_PROJECTION_DILUTION""]",L_v,0.5561436475245602,2.0645520606115714e-12,-1.1307428643762264e-14,-5.6537143218857485e-15,GROUP_DIRECTION_PROJECTION_DILUTION,0.005476940426686418,-1.1307428643771497e-14,9.232828034706722e-27,True,8.165276408613435e-13,2.935842037323115e-06,0.2055130215435523,37.52332607858744,3.462694638462871e-09,,,,,,,,,,,,,,,,,,,,,,,,
