panel,row_id,arm,epsilon,relative_error,historical_stable_window_verdict,probe_group,fail,pass,total,horizon
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K1|initial_velocity,D1,3e-05,1.0272618025193536e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K1|initial_velocity,D1,1e-05,1.027026621362946e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K1|initial_velocity,D1,3e-06,1.0271339298171928e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K1|initial_density,D1,0.0001,3.1717298365446776e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K1|initial_density,D1,3e-05,3.3917794199518663e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K1|initial_density,D1,1e-05,3.3941872462691207e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K1|initial_density,D1,3e-06,3.400440424119213e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K2|token_encoder_parameter,D1,0.0001,2.5322129962426128e-05,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K2|token_encoder_parameter,D1,3e-05,3.2624899254192494e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K2|token_encoder_parameter,D1,1e-05,0.0003608464845817794,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K2|token_encoder_parameter,D1,3e-06,0.0002565456015717026,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K2|coefficient_head_parameter,D1,0.0001,0.0006531854913266898,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K2|coefficient_head_parameter,D1,3e-05,0.003116578997121246,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K2|coefficient_head_parameter,D1,1e-05,0.0094590529644496,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K2|coefficient_head_parameter,D1,3e-06,0.005910859355956505,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K2|initial_velocity,D1,0.0001,9.120956803327606e-07,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K2|initial_velocity,D1,3e-05,9.120388661638463e-07,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K2|initial_velocity,D1,1e-05,9.123745386776662e-07,True,,,,,
